"nom_personne","oeuvre","fk_type","technique","fk_sujet artistique","sujet","datation"
"Anguissola, Anna Maria",Sacra famiglia con San Francesco,7,peinture à huile sur bois,4,nature morte,
"Robusti, Marietta",Ragazza veneziana,2,peinture à huile sur toile,2,portrait féminine,
"Burlamacchi, Eufrasia",Particolare del Liber Missarum de Tempore a Cena Domini usque ad Adventum,5,miniature,7,sujet religieuse ,"1500, 1502"
"Longhi, Barbara",Vergine con Bambino e santa,7,peinture à huile sur bois,7,sujet religieuse ,"1590, 1595"
"Fetti, Lucrina",Santa Barbara,,,7,sujet religieuse ,"1619, 1619"
"Garzoni, Giovanna",Natura morta,11,tempera sur parchemin,4,nature morte,"1660, 1660"
"Dal Pozzo, Isabella Maria",La pala dei santi Biagio e Luduina,2,peinture à huile sur toile,7,sujet religieuse ,"1666, 1666"
"Bricci, Plautilla",Pala d'altare nella cappella di San Luigi chiesa di San Luigi dei Francesi,2,peinture à huile sur toile,7,sujet religieuse ,"1671, 1680"
"Fontana, Veronica",Baccante ,9,xylographie,9,sujet mythologique ,"1677, 1677"
"Carriera, Rosalba",Autoritratto con il ritratto della sorella,10,peinture au pastel,5,autoportrait,"1715, 1715"
